question,question_label,mean,CI95
Basic salary for German Jordanian University,Q1,3.875,1.2980458010392137
Basic salary for German Jordanian University?,Q2,3.6666666666666665,1.2153708935020062
What is the basic salary for German Jordanian University?,Q3,4.0,1.6305911614470856
What is the basic salary definition for German Jordanian University?,Q4,4.333333333333333,1.5373360901361104
Transportation allowance for German Jordanian University,Q5,3.0,1.153002067602083
Transportation allowance for German Jordanian University?,Q6,2.6666666666666665,1.0168522440061316
List transportation allowance values for all for German Jordanian University,Q7,2.0,0.0
"List transportation allowance values for all, including dean for German Jordanian University",Q8,2.5,1.285290917818157
Family allowance for German Jordanian University?,Q9,2.0,0.0
Family bonus for German Jordanian University?,Q10,2.3333333333333335,0.7686680450680552
What is the family bonus for German Jordanian University?,Q11,2.0,0.0
What is the family bonus for wife for German Jordanian University?,Q12,2.0,0.0
Tax exemption for German Jordanian University?,Q13,2.6666666666666665,1.0168522440061316
Health insurance for German Jordanian University?,Q14,2.6666666666666665,1.0168522440061316
University contribution to health insurance for German Jordanian University?,Q15,2.3333333333333335,0.7686680450680552
Academic staff grades for German Jordanian University?,Q16,5.333333333333333,2.1398812740880695
Academic staff categories for German Jordanian University?,Q17,5.0,1.997058162318773
Administrative staff categories for German Jordanian University?,Q18,2.0,0.0
